id,hangid,sido,sigungu,dong,date,malso
0,1100000000,서울특별시,,,19880423,
1,1111000000,서울특별시,종로구,,19880423,
2,1111051500,서울특별시,종로구,청운효자동,20081101,
3,1111053000,서울특별시,종로구,사직동,19880423,
4,1111054000,서울특별시,종로구,삼청동,19880423,
5,1111055000,서울특별시,종로구,부암동,19880423,
6,1111056000,서울특별시,종로구,평창동,19880423,
7,1111057000,서울특별시,종로구,무악동,19880423,
8,1111058000,서울특별시,종로구,교남동,19880423,
9,1111060000,서울특별시,종로구,가회동,19880423,
10,1111061500,서울특별시,종로구,종로1.2.3.4가동,19981201,
11,1111063000,서울특별시,종로구,종로5.6가동,19880423,
12,1111064000,서울특별시,종로구,이화동,19880423,
13,1111065000,서울특별시,종로구,혜화동,19880423,
14,1111067000,서울특별시,종로구,창신제1동,19880423,
15,1111068000,서울특별시,종로구,창신제2동,19880423,
16,1111069000,서울특별시,종로구,창신제3동,19880423,
17,1111070000,서울특별시,종로구,숭인제1동,19880423,
18,1111071000,서울특별시,종로구,숭인제2동,19880423,
19,1114000000,서울특별시,중구,,19880423,
20,1114052000,서울특별시,중구,소공동,19880423,
21,1114054000,서울특별시,중구,회현동,19980914,
22,1114055000,서울특별시,중구,명동,19980914,
23,1114057000,서울특별시,중구,필동,19880423,
24,1114058000,서울특별시,중구,장충동,19880423,
25,1114059000,서울특별시,중구,광희동,19980914,
26,1114060500,서울특별시,중구,을지로동,20050315,
27,1114061500,서울특별시,중구,신당동,20130720,
28,1114062500,서울특별시,중구,다산동,20130720,
29,1114063500,서울특별시,중구,약수동,20130720,
30,1114064500,서울특별시,중구,청구동,20130720,
31,1114065000,서울특별시,중구,신당제5동,19880423,
32,1114066500,서울특별시,중구,동화동,20130720,
33,1114067000,서울특별시,중구,황학동,19880423,
34,1114068000,서울특별시,중구,중림동,19880423,
35,1117000000,서울특별시,용산구,,19880423,
36,1117051000,서울특별시,용산구,후암동,19880423,
37,1117052000,서울특별시,용산구,용산2가동,19880423,
38,1117053000,서울특별시,용산구,남영동,19880423,
39,1117055500,서울특별시,용산구,청파동,20080630,
40,1117056000,서울특별시,용산구,원효로제1동,19880423,
41,1117057000,서울특별시,용산구,원효로제2동,19880423,
42,1117058000,서울특별시,용산구,효창동,19880423,
43,1117059000,서울특별시,용산구,용문동,19880423,
44,1117062500,서울특별시,용산구,한강로동,20080630,
45,1117063000,서울특별시,용산구,이촌제1동,19880423,
46,1117064000,서울특별시,용산구,이촌제2동,19880423,
47,1117065000,서울특별시,용산구,이태원제1동,19880423,
48,1117066000,서울특별시,용산구,이태원제2동,19880423,
49,1117068500,서울특별시,용산구,한남동,20080630,
50,1117069000,서울특별시,용산구,서빙고동,19880423,
51,1117070000,서울특별시,용산구,보광동,19880423,
52,1120000000,서울특별시,성동구,,19880423,
53,1120052000,서울특별시,성동구,왕십리제2동,19880423,
54,1120053500,서울특별시,성동구,왕십리도선동,20080811,
55,1120054000,서울특별시,성동구,마장동,19880423,
56,1120055000,서울특별시,성동구,사근동,19880423,
57,1120056000,서울특별시,성동구,행당제1동,19880423,
58,1120057000,서울특별시,성동구,행당제2동,19880423,
59,1120058000,서울특별시,성동구,응봉동,19880423,
60,1120059000,서울특별시,성동구,금호1가동,19880423,
61,1120061500,서울특별시,성동구,금호2.3가동,20080811,
62,1120062000,서울특별시,성동구,금호4가동,19880423,
63,1120064500,서울특별시,성동구,옥수동,20080811,
64,1120065000,서울특별시,성동구,성수1가제1동,19880423,
65,1120066000,서울특별시,성동구,성수1가제2동,19880423,
66,1120067000,서울특별시,성동구,성수2가제1동,19880423,
